,property_description,number of rooms,quadrat (m^2),date,price (euro),region_Prishtine,region_other region in kosove,seasons_Autumn,seasons_Spring,seasons_Summer,seasons_Winter,neighborhood_Aktash,neighborhood_Arbëria (Dragodani),neighborhood_Bregu i Diellit,neighborhood_Dardania,neighborhood_Kalabria,neighborhood_Lagjen e Spitalit,neighborhood_Lagjja e Muhaxherëve,neighborhood_Lakrishta,neighborhood_Other,neighborhood_Qafa,neighborhood_Qendra,neighborhood_Tophane,neighborhood_Ulpiana
17070,banese me qira ne lagjen arberia,1,65.0,2020-10-03,270.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17071,super banese me qira ne qender,2,64.0,2020-10-03,400.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17072,banese me qira ne lagjen ulpiana,1,60.0,2020-10-03,300.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17073,ofrohet banese me qira ne lagjen bregu i diellit,1,60.0,2020-10-03,220.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17074,ofrohet banese me qira ne lagjen ulpiana,1,65.0,2020-10-03,300.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17075,ofrohet banese me qira te qafa,2,93.0,2020-10-03,400.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17076,super banese me qira ne bregun e diellit,2,107.0,2020-10-03,500.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17077,ofrohet banese me qira ne lagjen arberia,1,55.0,2020-10-03,220.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17078,leshohet banese me qira ne lagjen dodona,2,90.0,2020-10-03,200.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17079,ofrohet banese me qira ne lagjen dodona,1,55.0,2020-10-03,170.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17080,ofrohet banese me qira ne lagjen dodona,2,85.0,2020-10-03,200.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17081,super banese me qira ne fushe kosove,1,60.0,2020-10-03,250.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17082,banese me qira ne lagjen dardania,1,64.0,2020-10-03,250.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17083,super banese me qira ne lagjen pejton,1,65.0,2020-10-03,270.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17084,ofrohet banese me qira ne lagjen bregu i diellit,1,65.0,2020-10-03,250.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17085,banese ekskluzive me qira ne lagjen arberia,3,100.0,2020-10-03,550.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17086,ofrohet banese me qira te slovenia sport,1,50.0,2020-10-03,200.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17087,banese me qira ne lagjen arberia,1,50.0,2020-10-03,200.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17088,banese me qira ne lagje te spitalit,1,60.0,2020-10-03,230.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17089,kat shtepie me qira qender,2,140.0,2020-10-03,400.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17090,ekstra banese me qira ne lagjen arberia,1,60.0,2020-10-03,300.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17091,banese me qira ne lagjen bregu i diellit,1,65.0,2020-10-03,250.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17092,banese me qira ne lagjen dardania,1,60.0,2020-10-03,240.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17093,banese me qira ne lagjen e muhaxhereve,1,60.0,2020-10-03,240.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17094,banese me qira ne fushe kosove,1,65.0,2020-10-03,250.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17095,banese me qira ne lagjen bregu i diellit,2,76.0,2020-10-03,300.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17096,leshohet banese me qira ne qender per zyre,3,70.0,2020-10-03,550.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17097,banese me qira te sllovenia sporti 11,1,60.0,2020-10-03,250.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17098,leshohet banese me qira ne tophane 11,1,55.0,2020-10-03,250.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17099,leshohet banese me qira ne arberi 21,2,80.0,2020-10-03,350.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17100,leshohet banese per zyre me qira ne qender,3,80.0,2020-10-03,500.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17101,leshohet banese me qira per zyre ne emshir,0,50.0,2020-10-03,180.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17102,leshohet banese mqira ne bregun e diellit 11,1,60.0,2020-10-03,240.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17103,leshohet banese me qira ne pejton 21,2,95.0,2020-10-03,550.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17104,leshohet super banese me qira ne arberi 31,3,110.0,2020-10-03,500.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17105,leshohet me qira super banese ne emshir 11,2,100.0,2020-10-03,300.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17106,leshohet banese me qira ne dardani,1,80.0,2020-10-03,280.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17107,leshohet banese me qira ne arberi 31,3,100.0,2020-10-03,400.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17108,leshohet banese me qira te mati 1 11,1,54.0,2020-10-03,200.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17109,leshohet banese me qira ne lakrishte,3,120.0,2020-10-03,300.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17110,banesa 68m2 me qira ne dardani rozi,1,68.0,2020-10-03,300.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17111,banese super luksozepejtonrent flat,2,110.0,2020-10-03,500.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17112,banese me qira luksoze  rent flat,2,100.0,2020-10-03,500.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17113,qira banese eksluzive me qira e pabanuar me pare,2,94.0,2020-10-03,550.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17114,qira banese eksluzive3 dhoma fjetjee pabanuar me pare,3,105.0,2020-10-03,500.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17115,2 banesa me qira ne arberidragodan,2,74.0,2020-10-03,300.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17116,banes me qira ne bregun e diellit m1,2,55.0,2020-10-02,230.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17117,banes me qira ne ulpian m1,3,85.0,2020-10-02,300.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17118,banese me qira ne bregun e diellit,2,45.0,2020-10-02,220.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17119,banese me qira ne ulpiane,3,65.0,2020-10-02,280.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17120,banese me qira ne aktash,3,95.0,2020-10-02,350.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17121,banese me qira ne dardani,2,55.0,2020-10-02,200.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17122,banese me qira ne dardani,2,60.0,2020-10-02,250.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17123,banes me qira n lagjen pejton,3,97.0,2020-10-02,500.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17124,ofrohet banesa me qira ne bregun e diellit delta,3,60.0,2020-10-01,250.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17125,ofrohet banesa me qira ne mati 1 afer shkolles fillore pavarsia delta,2,64.0,2020-10-01,200.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17126,ofrohet banesa me qira ne qender delta,3,70.0,2020-10-01,350.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17127,leshohet banesa me qira te prishtina stars emshir delta,3,80.0,2020-10-01,400.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17128,banes me qera 11 ulpiane 250,1,55.775165849437556,2020-10-01,250.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17129,banes me qera 31 parku i qytetit 280,3,98.0,2020-10-01,280.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17130,banes me qera 11 kafet e vogla 240,1,55.775165849437556,2020-10-01,240.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17131,banese super komode ne kompleksin luledielli,1,40.0,2020-10-01,180.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17132,banes komode n kompleksin luledielli,3,70.0,2020-10-01,250.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17133,banes me qera 21 mati 1 300,2,3453.374379723643,2020-10-01,300.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17134,lokal me qera ne lagjen tophane prane shkolles meto bajraktari,2,40.0,2020-10-01,250.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17135,banes me qera emshir 21,1,60.0,2020-10-01,260.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17136,banes me qira 11 ne arberi  dragodan m1,2,50.0,2020-10-01,240.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17137,ofrohet pr qira banes 86m n lagjen arbria,3,86.0,2020-10-01,300.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17138,banes me qira ne dardani,2,75.0,2020-10-01,300.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17139,banes me qira te gjimnazi sami frasheri,2,84.0,2020-10-01,300.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17140,banese me qira ne arberimobiluar,1,40.0,2020-10-01,200.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17141,banese ekskluzive me qira ne rrugen b,3,95.0,2020-10-01,450.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17142,banese me qera te 4 llullatmobiluar,1,70.0,2020-10-01,275.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17143,banesa me qira ne mati 188m2,2,88.0,2020-10-01,250.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17144,banes me qera 21 mati 1 350,2,3453.374379723643,2020-10-01,350.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17145,banese me qira te parku i qytetit,2,55.0,2020-09-30,200.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17146,banese me qira ne arberi dragodan,4,105.0,2020-09-30,270.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17147,banese me qira te mati 1,2,55.0,2020-09-30,240.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17148,banese me qira te mati 1,2,65.0,2020-09-30,250.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17149,banese me qira ne kalabri emshir,2,50.0,2020-09-30,250.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17150,banese me qira ne bregun e diellit,2,60.0,2020-09-30,220.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17151,banese me qira ne bregun e diellit,2,65.0,2020-09-30,300.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17152,banese me qira ne dardani,2,65.0,2020-09-30,250.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17153,banese me qira ne kalabri emshir,3,65.0,2020-09-30,250.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17154,banese me qira ne kalabri emshir,3,85.0,2020-09-30,250.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17155,banese me qira te mati 2,4,135.0,2020-09-30,300.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17156,banese me qira ne ulpiane per zyre,3,75.0,2020-09-30,500.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17157,banese me qira ne kalabri emshir,2,57.0,2020-09-30,230.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17158,banese me qira te 4 llullat,3,75.0,2020-09-30,300.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17159,banese me qira ne kalabri emshir,3,85.0,2020-09-30,300.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17160,banese me qira ne dragodan arberi,4,117.0,2020-09-30,450.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17161,banese me qira ne bregun e diellit,2,50.0,2020-09-30,220.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17162,banese me qira te hotel siriusi,2,65.0,2020-09-30,250.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17163,banese me qira ne ulpiane,2,45.0,2020-09-30,200.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17164,banese me qira te 4 llullat,3,75.0,2020-09-30,350.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17165,banese me qira te mati 1  l spitalit,3,85.0,2020-09-30,300.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17166,banes me qera 21 mati 1 super viva 300,2,3453.374379723643,2020-09-30,300.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17167,banes me qera 11 emshirkalabria 220,1,55.775165849437556,2020-09-30,220.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17168,banes me qera ne lagjen ulpiana te fontana2011,1,30.0,2020-09-30,200.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17169,banes me qera ne lagjen arberia dragodan prane conadit 2015,2,66.0,2020-09-30,270.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17170,banese me qera ne lagjen akash prane extrem pizza 2047,2,63.0,2020-09-30,250.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17171,leshoj banes me qira ne lagjen e muhaxhereve,2,81.0,2020-09-30,300.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17172,banes me qera ne lagjen bregu i diellit prane postes se vogel 2064,3,65.0,2020-09-30,200.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17173,leshoj banese me nje dhome fjetje 200,1,60.0,2020-09-30,200.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17174,banes me qira te sllovenia sporti,1,60.0,2020-09-30,240.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17175,banese me qira ne breg te diellit21,2,75.0,2020-09-30,350.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17176,super banes me qira ne pejton,2,100.0,2020-09-30,500.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17177,banese me qera ne lagjen mati 1 prapa super vives 2053,3,96.0,2020-09-30,280.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17178,banese me qera  mati 1  rrmuharrem fejza,3,70.0,2020-09-29,250.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17179,banes me qera,1,55.0,2020-09-29,250.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17180,jepet gasonjerka me qera,1,55.775165849437556,2020-09-29,170.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17181,jepet gasonjerka me qera,1,55.775165849437556,2020-09-29,170.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17182,jepet gasonjerka me qera,1,55.775165849437556,2020-09-29,220.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17183,banes me qira ne lagjen qender prapa hotel sirius 2035,4,110.0,2020-09-29,350.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17184,banes me qira ne mat 1,2,3453.374379723643,2020-09-29,300.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17185,banese  garsoniere  me qira ne lagjen dodona,1,40.0,2020-09-29,200.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17186,banese me qira ne lagjen dardania,2,93.0,2020-09-29,300.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17187,banese me qira ne lagjen mati 1,1,60.0,2020-09-29,250.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17188,banese me qira ne rrugen b,1,60.0,2020-09-29,300.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17189,ofrohet banese me qira ne lagjen mati 1,1,67.0,2020-09-29,170.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17190,banese me qira ne lagjen arberia,1,65.0,2020-09-29,280.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17191,banese me qira ne lagjen emshir,2,75.0,2020-09-29,250.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17192,ofrohet banese me qira ne lagjen emshir,1,70.0,2020-09-29,250.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17193,ofrohet banese me qira ne lagjen dardania,2,80.0,2020-09-29,300.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17194,banese me qira ne lagjen aktash,1,58.0,2020-09-29,250.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17195,banese me qira ne lagjen e spitalit,2,83.0,2020-09-29,250.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17196,ofrohet banese me qira ne lagjen e spitalit,1,62.0,2020-09-29,200.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17197,banese me qira ne lagjen mati 1,1,57.0,2020-09-29,220.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17198,banese me qira ne lagjen tophane,1,60.0,2020-09-29,250.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17199,banese me qira ne lagjen ulpiana,1,42.0,2020-09-29,220.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17200,jap me qera banesen ne fushe kosove 200 euro,2,75.0,2020-09-29,200.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17201,jap me qera banesen te mati 1te shkolla pavaresia,2,60.0,2020-09-29,250.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17202,super banese me qira ne kalabri emshir,3,65.0,2020-09-29,350.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17203,banese me qira te mati 1,3,87.0,2020-09-29,300.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17204,garsonjere me qira te gjergj fishta,1,40.0,2020-09-29,200.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17205,banese me qira ne lakrishte pejton,3,100.0,2020-09-29,700.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17206,banese me qira te hotel siriusi,2,55.0,2020-09-29,240.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17207,banese me qira te sllovenia sport,2,55.0,2020-09-29,250.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17208,banese me qira te qafa,2,55.0,2020-09-29,200.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17209,banese me qira ne emshir,2,55.0,2020-09-29,230.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17210,banese me qira ne dardani,3,75.0,2020-09-29,270.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17211,banes me qera 3 dhomshe 21 objekti i princeshes mati 1 90m2,3,90.0,2020-09-29,250.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17212,banese ne bregun e diellit,1,35.0,2020-09-28,200.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17213,banese me qira ne lagjen dardania,1,70.0,2020-09-28,270.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17214,banese me qira ne lagjen dardania,1,55.0,2020-09-28,220.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17215,banese me qira ne lagjen bregu i diellit,1,60.0,2020-09-28,270.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17216,banese me qira ne lagjen bregu i diellit,1,60.0,2020-09-28,200.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17217,banese me qira ne lagjen mati 1,1,54.0,2020-09-28,250.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17218,banese me qira ne lagjen arberia,1,65.0,2020-09-28,270.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17219,banese ekskluzive me qira ne lagjen e spitalit,2,88.0,2020-09-28,450.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17220,banese ekskluzive me qira ne pejton,2,90.0,2020-09-28,700.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17221,banese me qira ne lagjen dodona,2,85.0,2020-09-28,250.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17222,banese me qira ne lagjen bregu i diellit,2,85.0,2020-09-28,300.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17223,banese me qira ne lagjen emshir,2,85.0,2020-09-28,250.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17224,super banese me qira ne qender,1,60.0,2020-09-28,450.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17225,banese me qira ne qender,1,45.0,2020-09-28,230.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17226,super banese me qira ne lagjen bregu i diellit,2,90.0,2020-09-28,550.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17227,ofrohet banese me qira ne lagjen emshir,2,80.0,2020-09-28,300.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17228,banese me qira ne lagjen emshir,2,90.0,2020-09-28,270.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17229,ofrohet banese me qira ne rrugen b,1,60.0,2020-09-28,400.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17230,banese me qira ne lagjen ulpiana,1,45.0,2020-09-28,200.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17231,ofrohet banese me qira ne rrugen c,2,85.0,2020-09-28,300.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17232,banese me qira ne lagjen e spitalit,1,55.0,2020-09-28,200.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17233,banese moderne me qira te mati 1,1,60.0,2020-09-28,220.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17234,banese me qira ne lagjen arberia,3,100.0,2020-09-28,350.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17235,banese me qira ne lagjen arberia,1,65.0,2020-09-28,270.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17236,ofrohet banesa me qira ne lagjen dardania delta,2,47.0,2020-09-28,250.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17237,leshohet banese me qira ne arberi 11,1,50.0,2020-09-28,270.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17238,banese me qira ne qender  te domi i pleqve,1,55.0,2020-09-28,220.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17239,banes me qira ne lagje e spitalit moderne,2,65.0,2020-09-28,260.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17240,banese me qira  penthouse  te bregu i diellit,2,110.0,2020-09-28,700.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17241,banese me qira ne pejton 21,2,80.0,2020-09-28,550.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17242,leshohet banese me qira te bregu i diellit 21,2,63.0,2020-09-28,250.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17243,leshohet banese me qira te mati 1 21,2,98.0,2020-09-28,250.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17244,leshohet banese me qira te parku i qytetit 11,1,43.0,2020-09-28,220.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17245,leshohet banese me qira te rruga b 21,2,84.0,2020-09-28,500.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17246,banese me qira ne lagjen arberia,1,65.0,2020-09-28,270.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17247,leshohet banese me qira ne dardani 31,3,100.0,2020-09-28,350.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17248,banese me qira ne lagjen arberia,3,100.0,2020-09-28,350.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17249,ofrohet banesa me qira afer gjimnazit sami frasheri delta,3,80.0,2020-09-28,350.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17250,ofrohet banesa me qira ne qender te sllovenia sporti delta,2,45.0,2020-09-28,240.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17251,banesa 40m2 me qira ne dardani rozi,1,40.0,2020-09-28,220.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
